,AAPL,AIG,DIS,GE,HD,HON,HPQ,IBM,INTC,MMM,MO,MRK,MSFT,DJI
2006/9/27,76.41,66.29,31.04,35.34,36.46,41.03,35.39,82.09,20.39,74.65,77.29,42.4,27.44,11689.2
2006/9/28,77.01,66.24,30.93,35.48,36.7,41.37,35.97,81.99,20.77,74.6,76.97,42.06,27.4,11718.5
2006/9/29,76.98,66.26,30.91,35.3,36.27,40.9,36.69,81.94,20.57,74.42,76.55,41.9,27.35,11679.1
2006/10/2,74.86,66.3,30.53,35.5,36.34,41.35,37.66,81.87,20.44,73.59,76.54,41.67,27.36,11670.3
2006/10/3,74.08,66.69,31,35.71,36.83,41.9,37.42,81.65,20.57,74.03,75.64,41.99,27.37,11727.3
2006/10/4,75.38,67.15,31.19,36.1,37.49,42.45,38.02,83.1,20.82,74.87,76.9,41.94,27.94,11850.6
2006/10/5,74.83,67.24,31.07,36.29,37.26,42.77,37.84,82.92,20.78,75.92,78.4,41.42,27.92,11866.7
2006/10/6,74.22,67.02,31.34,36.14,37.14,42.31,37.72,83.14,20.63,75.95,78.62,41.86,27.87,11850.2
2006/10/9,74.63,66.81,31.39,36.16,37.7,42.24,38,84,20.62,75.8,78.75,41.86,27.72,11857.8
2006/10/10,73.81,66.85,31.25,36.3,37.76,42.23,37.93,84.19,20.89,75.2,78.05,41.82,27.69,11867.2
2006/10/11,73.23,67.03,31.31,36.17,37.92,42.1,37.87,84.19,20.89,75.47,78.83,42.19,27.54,11852.1
2006/10/12,75.26,67.35,31.3,36.22,37.9,42.31,38.42,84.7,21.49,75.43,78.78,42.76,28.22,11947.7
2006/10/13,75.02,67.27,31.11,35.98,36.9,42.61,38.86,86.08,21.6,75.4,79.63,43.2,28.37,11960.5
2006/10/16,75.4,67.38,31.02,35.56,36.35,43,38.76,86.71,21.61,75.75,79.08,43.76,28.45,11980.6
2006/10/17,74.29,67.21,31.1,35.56,35.76,42.64,39.06,86.95,20.9,75.8,78.25,43.96,28.44,11950
2006/10/18,74.53,67.02,31.58,35.56,35.89,42.63,39.01,89.82,21.11,75.53,78.34,44.48,28.52,11992.7
2006/10/19,78.99,66.61,31.59,35.28,35.91,41.58,39.56,89.86,21.03,76.4,80.19,44.49,28.29,12011.7
2006/10/20,79.95,66.48,31.45,35.47,35.99,41.7,39.38,90.48,21.33,78.47,79.67,45.64,28.43,12002.4
2006/10/23,81.46,66.84,31.28,35.53,36.24,42.09,39.87,91.56,21.45,80.09,80.16,45.7,28.45,12116.9
2006/10/24,81.05,66.7,31.38,35.42,36.5,42.82,39.44,91.49,21.62,79.89,79.82,45.93,28.28,12127.9
2006/10/25,81.68,66.83,31.2,35.61,36.6,42.87,39.17,91.83,21.72,79.46,82.1,46.07,28.31,12134.7
2006/10/26,82.19,67.78,31.98,35.59,37.38,42.82,39.17,91.54,21.77,79.24,81.57,46.21,28.35,12163.7
2006/10/27,80.41,67.39,31.73,35.21,37.07,42.3,38.46,90.76,21.1,78.95,81.85,46.09,28.34,12090.2
2006/10/30,80.42,67.39,31.86,35.2,37.25,42.44,38.92,91.5,21.26,78.94,81.7,45.64,28.53,12086.5
2006/10/31,81.08,67.17,31.46,35.11,37.33,42.12,38.74,92.33,21.34,78.84,81.33,45.42,28.71,12080.7
2006/11/1,79.16,66.77,31.73,34.9,37.35,42.2,38.55,91.8,21.02,78.84,81.45,45.67,28.81,12031
2006/11/2,78.98,66.68,31.7,34.71,37.2,41.87,38.59,91.68,20.68,78.88,81.36,45.4,28.77,12018.5
2006/11/3,78.29,66.82,31.89,34.77,37.2,41.71,38.22,91.41,20.51,78.58,81.18,45.1,28.73,11986
2006/11/6,79.71,67.5,32.46,35.27,37.22,42,38.73,92.6,20.82,79.59,81.28,45.81,28.84,12105.5
2006/11/7,80.51,67.87,32.85,35.54,37.23,42.42,38.7,92.75,20.8,79.42,80.33,45.9,28.95,12156.8
2006/11/8,82.45,68.38,33.1,35.58,37.25,42.33,38.88,92.59,20.71,79.42,81.45,44.34,28.98,12176.5
2006/11/9,83.34,68.04,33.58,35.29,36.85,42.2,39.56,92.42,20.42,78.9,80.86,42.88,29.26,12103.3
2006/11/10,83.12,69.63,32.4,35.17,36.64,42.54,39.99,91.76,20.58,79.19,80.93,43.12,29.24,12108.4
2006/11/13,84.35,70.65,32.26,35.36,36.4,42.97,40.22,92.07,21,79.5,80.84,43.46,29.35,12131.9
2006/11/14,85,71.24,32.53,35.59,37.96,42.96,40.67,93.29,21.88,80.09,81.14,43.89,29.23,12218
2006/11/15,84.05,71.99,32.69,35.79,37.62,43.35,39.79,93.11,22.32,80.71,82.25,44.15,29.12,12251.7
2006/11/16,85.61,72.36,33.06,35.96,37.81,43.32,40.13,93.47,22.33,80.29,83.57,44.65,29.47,12305.8
2006/11/17,85.85,72.05,32.94,36.25,38.28,42.94,39.77,93.81,22.1,81.4,85.01,45.06,29.4,12342.5
2006/11/20,86.47,71.92,33.12,35.98,38.41,42.68,39.71,93.25,22.27,81.38,84.89,44.57,29.89,12316.5
2006/11/21,88.6,71.84,33.23,35.8,37.92,42.92,39.99,93.08,21.57,81.64,84.11,44.22,29.92,12321.6
2006/11/22,90.31,71.57,32.99,35.99,38.1,43.01,39.72,93.52,21.73,81.47,84.12,44.38,29.92,12327
2006/11/24,91.63,71.2,32.91,35.69,37.72,42.76,39.56,93.35,21.59,81.15,83.75,44.18,29.76,12280.2
2006/11/27,89.54,70.25,32.59,35.45,37.59,42.19,38.64,91.45,21.02,80.23,83.42,43.62,29.48,12121.7
2006/11/28,91.81,69.85,32.89,35.2,37.07,42.24,38.87,91.35,20.98,80.41,83.65,43.67,29.39,12136.5
2006/11/29,91.8,70.13,32.88,35.35,37.62,42.72,39.39,91.52,21.24,80.98,84.33,44.56,29.57,12226.7
2006/11/30,91.66,70.32,33.05,35.28,37.97,42.98,39.46,91.92,21.4,81.46,84.21,44.51,29.36,12221.9
2006/12/1,91.32,69.77,33.09,35.28,38.97,42.81,39.44,91.25,20.93,79.98,84,45.06,29.12,12194.1
2006/12/4,91.12,70.1,33.44,35.39,39.2,43.61,39.86,93.51,21.22,80.89,84.4,44.7,29.33,12283.8
2006/12/5,91.27,70.3,34.2,35.27,39.37,43.33,39.91,94.48,21.12,80.56,84.03,45.39,29.13,12331.6
2006/12/6,89.83,70.26,34.1,35.11,39.92,42.9,40.14,94.12,20.9,79.8,84.16,44.67,28.99,12309.2
2006/12/7,87.04,70.27,34.14,35.16,38.93,42.59,39.86,94.23,20.65,79.56,84.96,43.95,28.85,12278.4
2006/12/8,88.26,70.35,34.39,35.27,38.8,42.48,39.64,93.86,20.68,78.56,84.83,43.93,29.4,12307.5
2006/12/11,88.75,71,34.52,35.22,38.79,42.2,40.01,93.64,20.7,78.85,85.02,44.01,29.54,12328.5
2006/12/12,86.14,71.1,34.54,35.64,38.7,42.03,39.83,94.12,20.73,79.01,84.79,43.62,29.43,12315.6
2006/12/13,89.05,71.15,34.45,35.5,39.11,41.86,39.67,94.77,20.7,79.25,84.58,43.34,29.55,12317.5
2006/12/14,88.55,72.03,34.72,36.21,39.97,42.69,39.91,95.36,20.77,78.77,84.97,43.6,30.07,12416.8
2006/12/15,87.72,72.13,34.3,37.36,39.89,43.62,39.94,95.3,20.96,78.31,85.21,44,30.19,12445.5
2006/12/18,85.47,72.81,34.49,38,39.96,43.22,40.03,95.44,20.84,78.35,85.63,43.83,29.89,12441.3
2006/12/19,86.31,72.23,34.85,38.01,39.64,44.35,40.43,96,20.66,78.11,85.92,43.51,29.99,12471.3
2006/12/20,84.76,71.95,34.61,38.15,39.13,44.56,41.34,96,20.6,78.83,85.68,43.3,30.09,12463.9
2006/12/21,82.9,71.95,34.54,37.77,38.91,44.76,40.8,95.91,20.37,78.81,85.72,43.27,29.98,12421.2
2006/12/22,82.2,71.67,34.16,37.57,38.89,44.63,40.63,95.25,20.08,78.35,84.78,42.83,29.64,12343.2
2006/12/26,81.51,72.01,34.53,37.71,39.06,44.88,40.93,95.66,20.15,78.03,85.2,42.79,29.99,12407.6
2006/12/27,81.52,72.29,34.54,37.79,39.56,45.38,41.6,97.2,20.4,78.47,85.81,43.37,30.02,12510.6
2006/12/28,80.87,71.88,34.52,37.48,39.73,45.46,41.36,96.97,20.42,78.16,86.23,43.55,29.98,12501.5
